# Constructed from biom file
#OTU ID	St_Patrick	Abita	Callopie	Alana	Unknown	Dyani	Abu	Captive_Baby	Marra	Nilsson	Unknown_FRC5	Nyx	Ariadne	Luna	Minerva	Jordan	Corey	Theodora	Bathsheba	Odysseus	Ivy	Ivanhoe	Octavia	Unknown_G2.3	Unknown_G2.2	Wings	Orf	Juniper	Azalea	Mimosa	Agate	Zanahoria	Rambo_II	Siobhan	Unknown_G2.1	Talia	LFG_AM (LFM)	LSG_AM (LSM)	LSG_AFO	LSG_Unknown	LSG_AFY	RSG_AM_2	RSG_AM (RSM)	RSG_SubAM_1	UNKG_Unknown_1	UNKG_Unknown_2	UNKG_Unknown_3	UNKG_Unknown_4	UNKG_Unknown_5	UNKG_Unknown_6	UNKG_Unknown_7	UNKG_Unknown_8	UNKG_Unknown_9	UNKG_Unknown_10	UNKG_Unknown_11	UNKG_Unknown_12	UNKG_Unknown_13	UNKG_Unknown_14	UNKG_Unknown_15	UNKG_Unknown_16	UNKG_Unknown_17	UNKG_Unknown_18	UNKG_Unknown_19	UNKG_Unknown_20	UNKG_Unknown_21	UNKG_Unknown_22	UNKG_Unknown_23	UNKG_Unknown_24	UNKG_Unknown_25	UNKG_Unknown_26	UNKG_Unknown_27	UNKG_Unknown_28	UNKG_Unknown_29	UNKG_Unknown_30	UNKG_Unknown_31	UNKG_Unknown_32	URG.1	URG.10	URG.11	URG.12	URG.13	URG.14	URG.2	URG.3	URG.4	URG.5	URG.6	URG.7	URG.8	URG.9
k__Archaea;p__Euryarchaeota;c__Methanobacteria	860.0	571.0	2032.0	412.0	591.0	283.0	0.0	0.0	0.0	0.0	1347.0	1256.0	1754.0	930.0	665.0	25.0	612.0	4016.0	862.0	932.0	1634.0	579.0	109.0	1057.0	343.0	641.0	809.0	612.0	50.0	1128.0	1198.0	189.0	193.0	2135.0	905.0	1407.0	0.0	5.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	343.0	41.0	1396.0	258.0	548.0	197.0	496.0	682.0	914.0	543.0	1197.0	885.0	279.0	493.0
k__Bacteria;p__Acidobacteria;c__Acidobacteria-6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria	1.0	0.0	0.0	1.0	0.0	0.0	10.0	9468.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	3.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	8.0	8.0	11.0	1.0	1.0	0.0	1.0	0.0	7.0	3.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	2.0	1.0	4.0	3.0	2.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Coriobacteriia	91.0	270.0	547.0	132.0	53.0	150.0	134.0	30.0	1350.0	105.0	247.0	320.0	468.0	280.0	249.0	206.0	234.0	400.0	208.0	165.0	587.0	333.0	53.0	355.0	147.0	232.0	701.0	235.0	111.0	156.0	308.0	112.0	96.0	661.0	225.0	197.0	663.0	1981.0	998.0	2420.0	1019.0	588.0	1961.0	163.0	841.0	520.0	1910.0	2155.0	2637.0	848.0	705.0	2567.0	756.0	278.0	184.0	635.0	269.0	108.0	247.0	155.0	206.0	196.0	122.0	546.0	289.0	268.0	180.0	199.0	286.0	382.0	900.0	1004.0	543.0	591.0	732.0	235.0	162.0	1845.0	392.0	94.0	228.0	121.0	135.0	165.0	245.0	206.0	268.0	241.0	147.0	155.0
k__Bacteria;p__Actinobacteria;c__Thermoleophilia	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	5.0	0.0	0.0	0.0	5.0	2.0	0.0	0.0	15.0	1.0	36.0	26.0	0.0	0.0	0.0	0.0	1.0	44.0	4.0	12.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	1.0	1.0	2.0	1.0	0.0	2.0	0.0	3.0	6.0	0.0	2.0	1.0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia	21.0	143.0	295.0	1083.0	198.0	296.0	901.0	382.0	9925.0	361.0	112.0	47.0	614.0	32.0	324.0	65.0	154.0	64.0	70.0	230.0	2965.0	158.0	303.0	233.0	585.0	217.0	230.0	306.0	503.0	58.0	683.0	189.0	775.0	141.0	2906.0	3192.0	261.0	2702.0	3492.0	705.0	1255.0	152.0	788.0	149.0	234.0	182.0	369.0	140.0	530.0	382.0	776.0	546.0	1049.0	1891.0	2849.0	2006.0	766.0	3200.0	1162.0	1041.0	416.0	1637.0	734.0	1126.0	1024.0	292.0	534.0	969.0	439.0	836.0	92.0	120.0	360.0	332.0	232.0	166.0	268.0	156.0	713.0	1156.0	274.0	292.0	238.0	515.0	377.0	1171.0	617.0	1255.0	212.0	238.0
k__Bacteria;p__Bacteroidetes;c__Flavobacteriia	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	2.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	2.0	3.0	0.0	0.0	1.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	5.0	1.0	0.0	0.0	1.0	0.0	4.0	4.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	2.0	0.0	1.0	3.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
k__Bacteria;p__Chloroflexi;c__Ellin6529	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	7.0	1.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0
k__Bacteria;p__Cyanobacteria;c__4C0d-2	2.0	30.0	12.0	17.0	11.0	12.0	13.0	204.0	0.0	9.0	63.0	3.0	8.0	14.0	6.0	7.0	8.0	4.0	7.0	51.0	10.0	3.0	67.0	7.0	64.0	54.0	37.0	95.0	73.0	15.0	27.0	16.0	28.0	1.0	92.0	6.0	22.0	91.0	39.0	28.0	38.0	42.0	127.0	10.0	2.0	14.0	37.0	23.0	66.0	20.0	47.0	9.0	33.0	41.0	7.0	33.0	64.0	2.0	5.0	10.0	113.0	33.0	37.0	48.0	12.0	9.0	116.0	3.0	25.0	14.0	48.0	36.0	22.0	48.0	51.0	6.0	15.0	2.0	10.0	26.0	6.0	21.0	41.0	18.0	26.0	20.0	15.0	36.0	24.0	6.0
k__Bacteria;p__Elusimicrobia;c__Elusimicrobia	0.0	1.0	1.0	0.0	0.0	0.0	6.0	2.0	0.0	0.0	0.0	0.0	4.0	0.0	4.0	0.0	0.0	0.0	1.0	1.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	2.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
