# Constructed from biom file
#OTU ID	St_Patrick	Abita	Callopie	Alana	Unknown	Dyani	Abu	Captive_Baby	Marra	Nilsson	Unknown_FRC5	Nyx	Ariadne	Luna	Minerva	Jordan	Corey	Theodora	Bathsheba	Odysseus	Ivy	Ivanhoe	Octavia	Unknown_G2.3	Unknown_G2.2	Wings	Orf	Juniper	Azalea	Mimosa	Agate	Zanahoria	Rambo_II	Siobhan	Unknown_G2.1	Talia	URG.1	URG.10	URG.11	URG.12	URG.13	URG.14	URG.2	URG.3	URG.4	URG.5	URG.6	URG.7	URG.8	URG.9
k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales	860.0	571.0	2032.0	412.0	591.0	283.0	0.0	0.0	0.0	0.0	1347.0	1256.0	1754.0	930.0	665.0	25.0	612.0	4016.0	862.0	932.0	1634.0	579.0	109.0	1057.0	343.0	641.0	809.0	612.0	50.0	1128.0	1198.0	189.0	193.0	2135.0	905.0	1407.0	343.0	41.0	1396.0	258.0	548.0	197.0	496.0	682.0	914.0	543.0	1197.0	885.0	279.0	493.0
k__Bacteria;p__Acidobacteria;c__Acidobacteria-6;o__iii1-15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	3.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	8.0	8.0	11.0	1.0	1.0	0.0	1.0	0.0	7.0	3.0	2.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	4.0	3.0	1.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales	0.0	0.0	0.0	0.0	0.0	0.0	10.0	9468.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	1.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales	91.0	270.0	547.0	132.0	53.0	150.0	134.0	30.0	1350.0	105.0	247.0	320.0	468.0	280.0	249.0	206.0	234.0	400.0	208.0	165.0	587.0	333.0	53.0	355.0	147.0	232.0	701.0	235.0	111.0	156.0	308.0	112.0	96.0	661.0	225.0	197.0	162.0	1845.0	392.0	94.0	228.0	121.0	135.0	165.0	245.0	206.0	268.0	241.0	147.0	155.0
k__Bacteria;p__Actinobacteria;c__Thermoleophilia;o__Gaiellales	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Thermoleophilia;o__Solirubrobacterales	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	4.0	0.0	0.0	0.0	5.0	2.0	0.0	0.0	14.0	1.0	33.0	26.0	0.0	0.0	0.0	0.0	1.0	41.0	4.0	12.0	0.0	3.0	1.0	1.0	1.0	1.0	0.0	2.0	0.0	3.0	6.0	0.0	2.0	1.0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales	21.0	143.0	295.0	1083.0	198.0	296.0	901.0	382.0	9925.0	361.0	112.0	47.0	614.0	32.0	324.0	65.0	154.0	64.0	70.0	230.0	2965.0	158.0	303.0	233.0	585.0	217.0	230.0	306.0	503.0	58.0	683.0	189.0	775.0	141.0	2906.0	3192.0	268.0	156.0	713.0	1156.0	274.0	292.0	238.0	515.0	377.0	1171.0	617.0	1255.0	212.0	238.0
k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	2.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
k__Bacteria;p__Chloroflexi;c__Ellin6529;o__	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	7.0	1.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0
